2018/04/06	12:44:46	19
2018/04/06	12:42:30	19
2018/04/07	00:17:40	38
2018/04/07	00:15:30	38
2018/04/08	14:10:07	23
2018/04/08	15:50:27	16
2018/04/08	16:19:02	30
2018/04/09	03:26:08	12
2018/04/09	05:47:08	6
2018/04/09	12:27:00	38
2018/04/09	13:26:28	36
2018/04/09	13:27:27	3
2018/04/09	19:27:13	12
2018/04/09	05:45:00	6
2018/04/09	12:25:00	38
2018/04/09	13:24:30	36
2018/04/09	13:25:30	3
2018/04/11	21:51:11	27
2018/04/11	21:51:28	29
2018/04/11	21:49:45	27
2018/04/12	01:10:08	6
2018/04/13	17:30:39	33
2018/04/13	17:29:00	33
2018/04/15	02:49:53	34
2018/06/12	21:22:51	15
2018/06/13	17:23:49	19
2018/06/13	17:21:30	19
2018/06/13	11:57:07	38
2018/10/30	18:16:47	2
2018/11/05	09:57:25	24
2018/11/05	10:13:54	34
2018/11/10	08:25:54	2
2018/11/10	08:24:00	2
2018/11/10	06:22:01	2
2018/11/10	06:55:27	2
2018/11/11	00:59:32	13
2018/11/12	19:53:29	29
2018/11/12	20:01:59	12
2018/11/12	19:51:20	29
2018/11/14	03:48:35	12
2018/11/14	10:33:08	31
2018/11/16	14:49:32	8
2018/11/17	11:57:04	15
2018/11/20	01:47:56	25
2018/11/20	06:52:12	31
2018/11/20	13:29:27	31
2018/11/20	22:21:39	24
2018/11/20	13:27:30	31
2018/11/20	15:10:59	33
2018/11/21	00:19:47	36
2018/11/22	05:40:24	4
2018/11/22	08:57:37	24
2018/11/23	01:37:41	30
2018/11/23	03:52:31	28
2018/11/23	09:25:36	32
2018/11/23	09:25:47	28
2018/11/23	19:20:41	4
2018/11/23	22:34:04	30
2018/11/23	03:50:00	28
2018/11/23	19:18:30	14
2018/11/23	22:32:00	30
2018/11/23	01:20:40	33
2018/11/23	02:33:20	30
2018/11/23	22:32:57	30
2018/11/24	13:22:25	8
2018/11/24	16:15:33	4
2018/11/24	13:20:30	8
2018/11/25	06:10:17	4
2018/11/26	10:46:20	24
2018/11/26	10:44:00	24
2018/11/27	07:26:55	24
2018/11/28	07:26:59	12
2018/11/28	07:49:06	13
2018/11/28	07:25:15	12
2018/11/29	00:55:20	28
2018/11/29	01:55:34	28
2018/11/29	04:09:42	34
2018/11/29	04:13:31	29
2018/11/29	11:02:02	31
2018/11/29	00:53:30	28
2018/11/29	01:53:30	28
2018/11/29	12:56:23	30
2018/11/29	13:27:24	32
2018/11/30	10:23:28	7
2018/11/30	10:21:30	7
2018/12/01	18:15:19	24
2018/12/01	23:02:50	36
2018/12/01	18:13:00	24
2018/12/01	02:14:36	16
2018/12/01	23:01:52	36
2018/12/01	23:17:19	36
2018/12/01	23:31:42	36
2019/04/14	14:34:08	7
2019/04/14	14:42:32	7
2019/04/14	14:43:12	6
2019/04/14	14:48:37	26
2019/04/14	14:49:24	7
2019/04/14	14:50:33	6
2019/04/14	14:53:08	31
2019/04/14	14:54:21	27
2019/04/14	14:56:27	26
2019/04/14	14:56:31	30
2019/04/14	15:02:26	33
2019/04/14	15:04:28	10
2019/04/14	15:05:55	27
2019/04/24	17:20:12	20
2019/05/01	16:12:38	32
2019/05/01	16:48:32	35
2019/05/01	17:19:11	24
2019/05/02	09:56:38	25
2019/05/02	11:38:13	25
2019/05/02	16:45:09	27
2019/05/02	17:40:50	37
2019/05/02	18:00:00	22
2019/05/02	20:16:17	38
2019/05/02	20:37:20	38
2019/05/02	21:06:57	38
2019/05/02	22:53:05	38
2019/05/03	10:41:39	34
2019/05/03	23:18:26	37
2019/05/04	21:51:53	22
2019/05/04	22:30:51	24
2019/05/05	01:14:01	25
2019/05/05	01:34:50	24
2019/05/05	01:38:13	38
2019/05/05	04:03:49	28
2019/05/09	01:26:35	30
2019/09/16	04:58:20	30
2019/09/16	06:20:50	22
2019/09/16	09:39:41	22
2019/09/26	05:10:20	2
2019/09/26	07:16:04	4
2019/09/26	07:41:21	28
2019/09/28	14:09:50	37
2019/09/28	22:13:52	2
2019/09/29	19:21:03	2
2019/09/29	21:14:43	1
2019/09/30	03:43:47	22
2019/09/30	08:49:17	27
2019/09/30	09:37:59	3
2019/09/30	10:00:00	25
2019/09/30	12:04:02	30
2019/10/01	15:41:23	29
2019/10/05	21:38:38	18
2019/10/08	01:50:37	39
2019/10/08	16:08:24	1
2019/10/09	00:07:21	2
2019/10/10	15:51:54	9
2019/10/10	16:49:10	12
2019/10/10	17:36:12	2
2019/10/11	18:36:11	2
2019/10/19	12:17:39	38
2019/10/19	13:12:31	2
2019/10/19	13:21:38	2
